Date,Open,High,Low,Close,Adj Close,Volume
2020-04-07,34.5,34.5,34.5,34.5,34.5,0
2020-04-08,34.5,34.5,34.5,34.5,34.5,0
2020-04-09,34.5,34.5,34.5,34.5,34.5,0
2020-04-13,34.5,34.5,34.5,34.5,34.5,0
2020-04-14,34.5,34.5,34.5,34.5,34.5,0
2020-04-15,34.5,34.5,34.5,34.5,34.5,0
2020-04-16,34.5,34.5,34.5,34.5,34.5,0
2020-04-17,34.5,34.5,34.5,34.5,34.5,0
2020-04-20,34.5,34.5,34.5,34.5,34.5,0
2020-04-21,34.5,34.5,34.5,34.5,34.5,0
2020-04-22,34.5,34.5,34.5,34.5,34.5,0
2020-04-23,34.5,34.5,34.5,34.5,34.5,0
2020-04-24,34.5,34.5,34.5,34.5,34.5,0
2020-04-27,34.5,34.5,34.5,34.5,34.5,0
2020-04-28,34.5,34.5,34.5,34.5,34.5,0
2020-04-29,34.5,34.5,34.5,34.5,34.5,0
2020-04-30,34.5,34.5,34.5,34.5,34.5,0
2020-05-01,34.5,34.5,34.5,34.5,34.5,0
2020-05-04,34.5,34.5,34.5,34.5,34.5,0
2020-05-05,34.5,34.5,34.5,34.5,34.5,0
2020-05-06,34.5,34.5,34.5,34.5,34.5,0
2020-05-07,34.5,34.5,34.5,34.5,34.5,0
2020-05-08,34.5,34.5,34.5,34.5,34.5,0
2020-05-11,34.5,34.5,34.5,34.5,34.5,0
2020-05-12,34.5,34.5,34.5,34.5,34.5,0
2020-05-13,34.5,34.5,34.5,34.5,34.5,0
2020-05-14,34.5,34.5,34.5,34.5,34.5,0
2020-05-15,34.5,34.5,34.5,34.5,34.5,0
2020-05-18,34.5,34.5,34.5,34.5,34.5,0
2020-05-19,34.5,34.5,34.5,34.5,34.5,0
2020-05-20,34.5,34.5,34.5,34.5,34.5,0
2020-05-21,34.5,34.5,34.5,34.5,34.5,0
2020-05-22,34.5,34.5,34.5,34.5,34.5,0
2020-05-26,34.5,34.5,34.5,34.5,34.5,0
2020-05-27,34.5,34.5,34.5,34.5,34.5,0
2020-05-28,34.5,34.5,34.5,34.5,34.5,0
2020-05-29,34.5,34.5,34.5,34.5,34.5,0
2020-06-01,34.5,34.5,34.5,34.5,34.5,0
2020-06-02,34.5,34.5,34.5,34.5,34.5,0
2020-06-03,34.5,34.5,34.5,34.5,34.5,0
2020-06-04,34.5,34.5,34.5,34.5,34.5,0
2020-06-05,34.5,34.5,34.5,34.5,34.5,0
2020-06-08,34.5,34.5,34.5,34.5,34.5,0
2020-06-09,34.5,34.5,34.5,34.5,34.5,0
2020-06-10,34.5,34.5,34.5,34.5,34.5,0
2020-06-11,34.5,34.5,34.5,34.5,34.5,0
2020-06-12,34.5,34.5,34.5,34.5,34.5,0
2020-06-15,34.5,34.5,34.5,34.5,34.5,0
2020-06-16,34.5,34.5,34.5,34.5,34.5,0
2020-06-17,34.5,34.5,34.5,34.5,34.5,0
2020-06-18,34.5,34.5,34.5,34.5,34.5,0
2020-06-19,34.5,34.5,34.5,34.5,34.5,0
2020-06-22,34.5,34.5,34.5,34.5,34.5,0
2020-06-23,34.5,34.5,34.5,34.5,34.5,0
2020-06-24,34.5,34.5,34.5,34.5,34.5,0
2020-06-25,34.5,34.5,34.5,34.5,34.5,0
2020-06-26,34.5,34.5,34.5,34.5,34.5,0
2020-06-29,34.5,34.5,34.5,34.5,34.5,0
2020-06-30,34.5,34.5,34.5,34.5,34.5,0
2020-07-01,34.5,34.5,34.5,34.5,34.5,0
2020-07-02,34.5,34.5,34.5,34.5,34.5,0
2020-07-06,34.5,34.5,34.5,34.5,34.5,0
2020-07-07,34.5,34.5,34.5,34.5,34.5,0
2020-07-08,34.5,34.5,34.5,34.5,34.5,0
2020-07-09,34.5,34.5,34.5,34.5,34.5,0
2020-07-10,34.5,34.5,34.5,34.5,34.5,0
2020-07-13,34.5,34.5,34.5,34.5,34.5,0
2020-07-14,34.5,34.5,34.5,34.5,34.5,0
2020-07-15,34.5,34.5,34.5,34.5,34.5,0
2020-07-16,34.5,34.5,34.5,34.5,34.5,0
2020-07-17,34.5,34.5,34.5,34.5,34.5,0
2020-07-20,34.5,34.5,34.5,34.5,34.5,0
2020-07-21,34.5,34.5,34.5,34.5,34.5,0
2020-07-22,34.5,34.5,34.5,34.5,34.5,0
2020-07-23,34.5,34.5,34.5,34.5,34.5,0
2020-07-24,34.5,34.5,34.5,34.5,34.5,0
2020-07-27,34.5,34.5,34.5,34.5,34.5,0
2020-07-28,34.5,34.5,34.5,34.5,34.5,0
2020-07-29,34.5,34.5,34.5,34.5,34.5,0
2020-07-30,34.5,34.5,34.5,34.5,34.5,0
2020-07-31,34.5,34.5,34.5,34.5,34.5,0
2020-08-03,34.5,34.5,34.5,34.5,34.5,0
2020-08-04,34.5,34.5,34.5,34.5,34.5,0
2020-08-05,34.5,34.5,34.5,34.5,34.5,0
2020-08-06,34.5,34.5,34.5,34.5,34.5,0
2020-08-07,34.5,34.5,34.5,34.5,34.5,0
2020-08-10,34.5,34.5,34.5,34.5,34.5,0
2020-08-11,34.5,34.5,34.5,34.5,34.5,0
2020-08-12,34.5,34.5,34.5,34.5,34.5,0
2020-08-13,34.5,34.5,34.5,34.5,34.5,0
2020-08-14,34.5,34.5,34.5,34.5,34.5,0
2020-08-17,34.5,34.5,34.5,34.5,34.5,0
2020-08-18,34.5,34.5,34.5,34.5,34.5,0
2020-08-19,34.5,34.5,34.5,34.5,34.5,0
2020-08-20,34.5,34.5,34.5,34.5,34.5,0
2020-08-21,34.5,34.5,34.5,34.5,34.5,0
2020-08-24,34.5,34.5,34.5,34.5,34.5,0
2020-08-25,34.5,34.5,34.5,34.5,34.5,0
2020-08-26,34.5,34.5,34.5,34.5,34.5,0
2020-08-27,34.5,34.5,34.5,34.5,34.5,0
2020-08-28,34.5,34.5,34.5,34.5,34.5,0
2020-08-31,34.5,34.5,34.5,34.5,34.5,0
2020-09-01,34.5,34.5,34.5,34.5,34.5,0
2020-09-02,34.5,34.5,34.5,34.5,34.5,0
2020-09-03,34.5,34.5,34.5,34.5,34.5,0
2020-09-04,34.5,34.5,34.5,34.5,34.5,0
2020-09-08,34.5,34.5,34.5,34.5,34.5,0
2020-09-09,34.5,34.5,34.5,34.5,34.5,0
2020-09-10,34.5,34.5,34.5,34.5,34.5,0
2020-09-11,34.5,34.5,34.5,34.5,34.5,0
2020-09-14,34.5,34.5,34.5,34.5,34.5,0
2020-09-15,34.5,34.5,34.5,34.5,34.5,0
2020-09-16,34.5,34.5,34.5,34.5,34.5,0
2020-09-17,34.5,34.5,34.5,34.5,34.5,0
2020-09-18,34.5,34.5,34.5,34.5,34.5,0
2020-09-21,34.5,34.5,34.5,34.5,34.5,0
2020-09-22,34.5,34.5,34.5,34.5,34.5,0
2020-09-23,34.5,34.5,34.5,34.5,34.5,0
2020-09-24,34.5,34.5,34.5,34.5,34.5,0
2020-09-25,34.5,34.5,34.5,34.5,34.5,0
2020-09-28,34.5,34.5,34.5,34.5,34.5,0
2020-09-29,34.5,34.5,34.5,34.5,34.5,0
2020-09-30,34.5,34.5,34.5,34.5,34.5,0
2020-10-01,34.5,34.5,34.5,34.5,34.5,0
2020-10-02,34.5,34.5,34.5,34.5,34.5,0
2020-10-05,34.5,34.5,34.5,34.5,34.5,0
2020-10-06,34.5,34.5,34.5,34.5,34.5,0
2020-10-07,34.5,34.5,34.5,34.5,34.5,0
2020-10-08,34.5,34.5,34.5,34.5,34.5,0
2020-10-09,34.5,34.5,34.5,34.5,34.5,0
2020-10-12,34.5,34.5,34.5,34.5,34.5,0
2020-10-13,34.5,34.5,34.5,34.5,34.5,0
2020-10-14,34.5,34.5,34.5,34.5,34.5,0
2020-10-15,34.5,34.5,34.5,34.5,34.5,0
2020-10-16,34.5,34.5,34.5,34.5,34.5,0
2020-10-19,34.5,34.5,34.5,34.5,34.5,0
2020-10-20,34.5,34.5,34.5,34.5,34.5,0
2020-10-21,34.5,34.5,34.5,34.5,34.5,0
2020-10-22,34.5,34.5,34.5,34.5,34.5,0
2020-10-23,34.5,34.5,34.5,34.5,34.5,0
2020-10-26,34.5,34.5,34.5,34.5,34.5,0
2020-10-27,34.5,34.5,34.5,34.5,34.5,0
2020-10-28,34.5,34.5,34.5,34.5,34.5,0
2020-10-29,34.5,34.5,34.5,34.5,34.5,0
2020-10-30,34.5,34.5,34.5,34.5,34.5,0
2020-11-02,34.5,34.5,34.5,34.5,34.5,0
2020-11-03,34.5,34.5,34.5,34.5,34.5,0
2020-11-04,34.5,34.5,34.5,34.5,34.5,0
2020-11-05,34.5,34.5,34.5,34.5,34.5,0
2020-11-06,34.5,34.5,34.5,34.5,34.5,0
2020-11-09,34.5,34.5,34.5,34.5,34.5,0
2020-11-10,34.5,34.5,34.5,34.5,34.5,0
2020-11-11,34.5,34.5,34.5,34.5,34.5,0
2020-11-12,34.5,34.5,34.5,34.5,34.5,0
2020-11-13,34.5,34.5,34.5,34.5,34.5,0
2020-11-16,34.5,34.5,34.5,34.5,34.5,0
2020-11-17,34.5,34.5,34.5,34.5,34.5,0
2020-11-18,34.5,34.5,34.5,34.5,34.5,0
2020-11-19,34.5,34.5,34.5,34.5,34.5,0
2020-11-20,34.5,34.5,34.5,34.5,34.5,0
2020-11-23,34.5,34.5,34.5,34.5,34.5,0
2020-11-24,34.5,34.5,34.5,34.5,34.5,0
2020-11-25,34.5,34.5,34.5,34.5,34.5,0
2020-11-27,34.5,34.5,34.5,34.5,34.5,0
2020-11-30,34.5,34.5,34.5,34.5,34.5,0
2020-12-01,34.5,34.5,34.5,34.5,34.5,0
2020-12-02,34.5,34.5,34.5,34.5,34.5,0
2020-12-03,34.5,34.5,34.5,34.5,34.5,0
2020-12-04,34.5,34.5,34.5,34.5,34.5,0
2020-12-07,34.5,34.5,34.5,34.5,34.5,0
2020-12-08,34.5,34.5,34.5,34.5,34.5,0
2020-12-09,34.5,34.5,34.5,34.5,34.5,0
2020-12-10,34.5,34.5,34.5,34.5,34.5,0
2020-12-11,34.5,34.5,34.5,34.5,34.5,0
2020-12-14,34.5,34.5,34.5,34.5,34.5,0
2020-12-15,34.5,34.5,34.5,34.5,34.5,0
2020-12-16,34.5,34.5,34.5,34.5,34.5,0
2020-12-17,34.5,34.5,34.5,34.5,34.5,0
2020-12-18,34.5,34.5,34.5,34.5,34.5,0
2020-12-21,34.5,34.5,34.5,34.5,34.5,0
2020-12-22,34.5,34.5,34.5,34.5,34.5,0
2020-12-23,34.5,34.5,34.5,34.5,34.5,0
2020-12-24,34.5,34.5,34.5,34.5,34.5,0
2020-12-28,34.5,34.5,34.5,34.5,34.5,0
2020-12-29,34.5,34.5,34.5,34.5,34.5,0
2020-12-30,34.5,34.5,34.5,34.5,34.5,0
2020-12-31,34.5,34.5,34.5,34.5,34.5,0
2021-01-04,34.5,34.5,34.5,34.5,34.5,0
2021-01-05,34.5,34.5,34.5,34.5,34.5,0
2021-01-06,34.5,34.5,34.5,34.5,34.5,0
2021-01-07,34.5,34.5,34.5,34.5,34.5,0
2021-01-08,34.5,34.5,34.5,34.5,34.5,0
2021-01-11,34.5,34.5,34.5,34.5,34.5,0
2021-01-12,34.5,34.5,34.5,34.5,34.5,0
2021-01-13,34.5,34.5,34.5,34.5,34.5,0
2021-01-14,34.5,34.5,34.5,34.5,34.5,0
2021-01-15,34.5,34.5,34.5,34.5,34.5,0
2021-01-19,34.5,34.5,34.5,34.5,34.5,0
2021-01-20,34.5,34.5,34.5,34.5,34.5,0
2021-01-21,34.5,34.5,34.5,34.5,34.5,0
2021-01-22,34.5,34.5,34.5,34.5,34.5,0
2021-01-25,34.5,34.5,34.5,34.5,34.5,0
2021-01-26,34.5,34.5,34.5,34.5,34.5,0
2021-01-27,34.5,34.5,34.5,34.5,34.5,0
2021-01-28,34.5,34.5,34.5,34.5,34.5,0
2021-01-29,34.5,34.5,34.5,34.5,34.5,0
2021-02-01,34.5,34.5,34.5,34.5,34.5,0
2021-02-02,34.5,34.5,34.5,34.5,34.5,0
2021-02-03,34.5,34.5,34.5,34.5,34.5,0
2021-02-04,34.5,34.5,34.5,34.5,34.5,0
2021-02-05,34.5,34.5,34.5,34.5,34.5,0
2021-02-08,34.5,34.5,34.5,34.5,34.5,0
2021-02-09,34.5,34.5,34.5,34.5,34.5,0
2021-02-10,34.5,34.5,34.5,34.5,34.5,0
2021-02-11,34.5,34.5,34.5,34.5,34.5,0
2021-02-12,34.5,34.5,34.5,34.5,34.5,0
2021-02-16,34.5,34.5,34.5,34.5,34.5,0
2021-02-17,34.5,34.5,34.5,34.5,34.5,0
2021-02-18,34.5,34.5,34.5,34.5,34.5,0
2021-02-19,34.5,34.5,34.5,34.5,34.5,0
2021-02-22,34.5,34.5,34.5,34.5,34.5,0
2021-02-23,34.5,34.5,34.5,34.5,34.5,0
2021-02-24,34.5,34.5,34.5,34.5,34.5,0
2021-02-25,34.5,34.5,34.5,34.5,34.5,0
2021-02-26,34.5,34.5,34.5,34.5,34.5,0
2021-03-01,34.5,34.5,34.5,34.5,34.5,0
2021-03-02,34.5,34.5,34.5,34.5,34.5,0
2021-03-03,34.5,34.5,34.5,34.5,34.5,0
2021-03-04,34.5,34.5,34.5,34.5,34.5,0
2021-03-05,34.5,34.5,34.5,34.5,34.5,0
2021-03-08,34.5,34.5,34.5,34.5,34.5,0
2021-03-09,34.5,34.5,34.5,34.5,34.5,0
2021-03-10,34.5,34.5,34.5,34.5,34.5,0
2021-03-11,34.5,34.5,34.5,34.5,34.5,0
2021-03-12,34.5,34.5,34.5,34.5,34.5,0
2021-03-15,34.5,34.5,34.5,34.5,34.5,0
2021-03-16,34.5,34.5,34.5,34.5,34.5,0
2021-03-17,34.5,34.5,34.5,34.5,34.5,0
2021-03-18,34.5,34.5,34.5,34.5,34.5,0
2021-03-19,34.5,34.5,34.5,34.5,34.5,0
2021-03-22,34.5,34.5,34.5,34.5,34.5,0
2021-03-23,34.5,34.5,34.5,34.5,34.5,0
2021-03-24,34.5,34.5,34.5,34.5,34.5,0
2021-03-25,34.5,34.5,34.5,34.5,34.5,0
2021-03-26,34.5,34.5,34.5,34.5,34.5,0
2021-03-29,34.5,34.5,34.5,34.5,34.5,0
2021-03-30,34.5,34.5,34.5,34.5,34.5,0
2021-03-31,34.5,34.5,34.5,34.5,34.5,0
2021-04-01,34.5,34.5,34.5,34.5,34.5,0
2021-04-05,34.5,34.5,34.5,34.5,34.5,0
2021-04-06,34.5,34.5,34.5,34.5,34.5,0
2021-04-07,34.5,34.5,34.5,34.5,34.5,0
2021-04-08,34.5,34.5,34.5,34.5,34.5,0
2021-04-09,34.5,34.5,34.5,34.5,34.5,0
2021-04-12,34.5,34.5,34.5,34.5,34.5,0
2021-04-13,34.5,34.5,34.5,34.5,34.5,0
2021-04-14,34.5,34.5,34.5,34.5,34.5,0
2021-04-15,34.5,34.5,34.5,34.5,34.5,0
2021-04-16,34.5,34.5,34.5,34.5,34.5,0
2021-04-19,34.5,34.5,34.5,34.5,34.5,0
2021-04-20,34.5,34.5,34.5,34.5,34.5,0
2021-04-21,34.5,34.5,34.5,34.5,34.5,0
2021-04-22,34.5,34.5,34.5,34.5,34.5,0
2021-04-23,34.5,34.5,34.5,34.5,34.5,0
2021-04-26,34.5,34.5,34.5,34.5,34.5,0
2021-04-27,34.5,34.5,34.5,34.5,34.5,0
2021-04-28,34.5,34.5,34.5,34.5,34.5,0
2021-04-29,34.5,34.5,34.5,34.5,34.5,0
2021-04-30,34.5,34.5,34.5,34.5,34.5,0
2021-05-03,34.5,34.5,34.5,34.5,34.5,0
2021-05-04,34.5,34.5,34.5,34.5,34.5,0
2021-05-05,34.5,34.5,34.5,34.5,34.5,0
2021-05-06,34.5,34.5,34.5,34.5,34.5,0
2021-05-07,34.5,34.5,34.5,34.5,34.5,0
2021-05-10,34.5,34.5,34.5,34.5,34.5,0
2021-05-11,34.5,34.5,34.5,34.5,34.5,0
2021-05-12,34.5,34.5,34.5,34.5,34.5,0
2021-05-13,34.5,34.5,34.5,34.5,34.5,0
2021-05-14,34.5,34.5,34.5,34.5,34.5,0
2021-05-17,34.5,34.5,34.5,34.5,34.5,0
2021-05-18,34.5,34.5,34.5,34.5,34.5,0
2021-05-19,34.5,34.5,34.5,34.5,34.5,0
2021-05-20,34.5,34.5,34.5,34.5,34.5,0
2021-05-21,34.5,34.5,34.5,34.5,34.5,0
2021-05-24,34.5,34.5,34.5,34.5,34.5,0
2021-05-25,34.5,34.5,34.5,34.5,34.5,0
2021-05-26,34.5,34.5,34.5,34.5,34.5,0
2021-05-27,34.5,34.5,34.5,34.5,34.5,0
2021-05-28,34.5,34.5,34.5,34.5,34.5,0
2021-06-01,34.5,34.5,34.5,34.5,34.5,0
2021-06-02,34.5,34.5,34.5,34.5,34.5,0
2021-06-03,34.5,34.5,34.5,34.5,34.5,0
2021-06-04,34.5,34.5,34.5,34.5,34.5,0
2021-06-07,34.5,34.5,34.5,34.5,34.5,0
2021-06-08,34.5,34.5,34.5,34.5,34.5,0
2021-06-09,34.5,34.5,34.5,34.5,34.5,0
2021-06-10,34.5,34.5,34.5,34.5,34.5,0
2021-06-11,34.5,34.5,34.5,34.5,34.5,0
2021-06-14,34.5,34.5,34.5,34.5,34.5,0
2021-06-15,34.5,34.5,34.5,34.5,34.5,0
2021-06-16,34.5,34.5,34.5,34.5,34.5,0
2021-06-17,34.5,34.5,34.5,34.5,34.5,0
2021-06-18,34.5,34.5,34.5,34.5,34.5,0
2021-06-21,34.5,34.5,34.5,34.5,34.5,0
2021-06-29,34.5,34.5,34.5,34.5,34.5,0
2021-06-30,34.5,34.5,34.5,34.5,34.5,0
2021-07-01,34.5,34.5,34.5,34.5,34.5,0
2021-07-02,34.5,34.5,34.5,34.5,34.5,0
2021-07-06,34.5,34.5,34.5,34.5,34.5,0
2021-07-07,34.5,34.5,34.5,34.5,34.5,0
2021-07-08,34.5,34.5,34.5,34.5,34.5,0
2021-07-09,34.5,34.5,34.5,34.5,34.5,0
2021-07-12,34.5,34.5,34.5,34.5,34.5,0
2021-07-13,34.5,34.5,34.5,34.5,34.5,0
2021-07-14,34.5,34.5,34.5,34.5,34.5,0
2021-07-15,34.5,34.5,34.5,34.5,34.5,0
2021-07-16,34.5,34.5,34.5,34.5,34.5,0
2021-07-19,34.5,34.5,34.5,34.5,34.5,0
2021-07-20,34.5,34.5,34.5,34.5,34.5,0
2021-07-21,34.5,34.5,34.5,34.5,34.5,0
2021-07-22,34.5,34.5,34.5,34.5,34.5,0
2021-07-23,34.5,34.5,34.5,34.5,34.5,0
2021-07-26,34.5,34.5,34.5,34.5,34.5,0
2021-07-27,34.5,34.5,34.5,34.5,34.5,0
2021-07-28,34.5,34.5,34.5,34.5,34.5,0
2021-07-29,34.5,34.5,34.5,34.5,34.5,0
2021-07-30,34.5,34.5,34.5,34.5,34.5,0
2021-08-02,34.5,34.5,34.5,34.5,34.5,0
2021-08-03,34.5,34.5,34.5,34.5,34.5,0
2021-08-04,34.5,34.5,34.5,34.5,34.5,0
2021-08-05,34.5,34.5,34.5,34.5,34.5,0
2021-08-06,34.5,34.5,34.5,34.5,34.5,0
2021-08-10,34.5,34.5,34.5,34.5,34.5,0
2021-08-11,34.5,34.5,34.5,34.5,34.5,0
2021-08-12,34.5,34.5,34.5,34.5,34.5,0
2021-08-13,34.5,34.5,34.5,34.5,34.5,0
2021-08-16,34.5,34.5,34.5,34.5,34.5,0
2021-08-17,34.5,34.5,34.5,34.5,34.5,0
2021-08-18,34.5,34.5,34.5,34.5,34.5,0
2021-08-19,34.5,34.5,34.5,34.5,34.5,0
2021-08-20,34.5,34.5,34.5,34.5,34.5,0
2021-08-23,34.5,34.5,34.5,34.5,34.5,0
2021-08-24,34.5,34.5,34.5,34.5,34.5,0
2021-08-25,34.5,34.5,34.5,34.5,34.5,0
2021-08-26,34.5,34.5,34.5,34.5,34.5,0
2021-08-27,34.5,34.5,34.5,34.5,34.5,0
2021-08-30,34.5,34.5,34.5,34.5,34.5,0
2021-08-31,34.5,34.5,34.5,34.5,34.5,0
2021-09-01,34.5,34.5,34.5,34.5,34.5,0
2021-09-02,34.5,34.5,34.5,34.5,34.5,0
2021-09-03,34.5,34.5,34.5,34.5,34.5,0
2021-09-07,34.5,34.5,34.5,34.5,34.5,0
2021-09-08,34.5,34.5,34.5,34.5,34.5,0
2021-09-09,34.5,34.5,34.5,34.5,34.5,0
2021-09-10,34.5,34.5,34.5,34.5,34.5,0
2021-09-13,34.5,34.5,34.5,34.5,34.5,0
2021-09-14,34.5,34.5,34.5,34.5,34.5,0
2021-09-15,34.5,34.5,34.5,34.5,34.5,0
2021-09-16,34.5,34.5,34.5,34.5,34.5,0
2021-09-17,34.5,34.5,34.5,34.5,34.5,0
2021-09-20,34.5,34.5,34.5,34.5,34.5,0
2021-09-21,34.5,34.5,34.5,34.5,34.5,0
2021-09-22,34.5,34.5,34.5,34.5,34.5,0
2021-09-23,34.5,34.5,34.5,34.5,34.5,0
2021-09-24,34.5,34.5,34.5,34.5,34.5,0
2021-09-27,34.5,34.5,34.5,34.5,34.5,0
2021-09-28,34.5,34.5,34.5,34.5,34.5,0
2021-09-29,34.5,34.5,34.5,34.5,34.5,0
2021-09-30,34.5,34.5,34.5,34.5,34.5,0
2021-10-01,34.5,34.5,34.5,34.5,34.5,0
2021-10-04,34.5,34.5,34.5,34.5,34.5,0
2021-10-05,34.5,34.5,34.5,34.5,34.5,0
2021-10-06,34.5,34.5,34.5,34.5,34.5,0
2021-10-07,34.5,34.5,34.5,34.5,34.5,0
2021-10-08,34.5,34.5,34.5,34.5,34.5,0
2021-10-11,34.5,34.5,34.5,34.5,34.5,0
2021-10-12,34.5,34.5,34.5,34.5,34.5,0
2021-10-13,34.5,34.5,34.5,34.5,34.5,0
2021-10-14,34.5,34.5,34.5,34.5,34.5,0
2021-10-15,34.5,34.5,34.5,34.5,34.5,0
2021-10-18,34.5,34.5,34.5,34.5,34.5,0
2021-10-19,34.5,34.5,34.5,34.5,34.5,0
2021-10-20,34.5,34.5,34.5,34.5,34.5,0
2021-10-21,34.5,34.5,34.5,34.5,34.5,0
2021-10-22,34.5,34.5,34.5,34.5,34.5,0
2021-10-25,34.5,34.5,34.5,34.5,34.5,0
2021-10-26,34.5,34.5,34.5,34.5,34.5,0
2021-10-27,34.5,34.5,34.5,34.5,34.5,0
2021-10-28,34.5,34.5,34.5,34.5,34.5,0
2021-10-29,34.5,34.5,34.5,34.5,34.5,0
2021-11-01,34.5,34.5,34.5,34.5,34.5,0
2021-11-02,34.5,34.5,34.5,34.5,34.5,0
2021-11-03,34.5,34.5,34.5,34.5,34.5,0
2021-11-04,34.5,34.5,34.5,34.5,34.5,0
2021-11-05,34.5,34.5,34.5,34.5,34.5,0
2021-11-08,34.5,34.5,34.5,34.5,34.5,0
2021-11-09,34.5,34.5,34.5,34.5,34.5,0
2021-11-10,34.5,34.5,34.5,34.5,34.5,0
2021-11-11,34.5,34.5,34.5,34.5,34.5,0
2021-11-12,34.5,34.5,34.5,34.5,34.5,0
2021-11-15,34.5,34.5,34.5,34.5,34.5,0
2021-11-16,34.5,34.5,34.5,34.5,34.5,0
2021-11-17,34.5,34.5,34.5,34.5,34.5,0
2021-11-18,34.5,34.5,34.5,34.5,34.5,0
2021-11-19,34.5,34.5,34.5,34.5,34.5,0
2021-11-22,34.5,34.5,34.5,34.5,34.5,0
2021-11-23,34.5,34.5,34.5,34.5,34.5,0
2021-11-24,34.5,34.5,34.5,34.5,34.5,0
2021-11-26,34.5,34.5,34.5,34.5,34.5,0
2021-11-29,34.5,34.5,34.5,34.5,34.5,0
2021-11-30,34.5,34.5,34.5,34.5,34.5,0
2021-12-01,34.5,34.5,34.5,34.5,34.5,0
2021-12-02,34.5,34.5,34.5,34.5,34.5,0
2021-12-03,34.5,34.5,34.5,34.5,34.5,0
2021-12-06,34.5,34.5,34.5,34.5,34.5,0
2021-12-07,34.5,34.5,34.5,34.5,34.5,0
2021-12-08,34.5,34.5,34.5,34.5,34.5,0
2021-12-09,34.5,34.5,34.5,34.5,34.5,0
2021-12-10,34.5,34.5,34.5,34.5,34.5,0
2021-12-13,34.5,34.5,34.5,34.5,34.5,0
2021-12-14,34.5,34.5,34.5,34.5,34.5,0
2021-12-15,34.5,34.5,34.5,34.5,34.5,0
2021-12-16,34.5,34.5,34.5,34.5,34.5,0
2021-12-17,34.5,34.5,34.5,34.5,34.5,0
2021-12-20,34.5,34.5,34.5,34.5,34.5,0
2021-12-21,34.5,34.5,34.5,34.5,34.5,0
2021-12-22,34.5,34.5,34.5,34.5,34.5,0
2021-12-23,34.5,34.5,34.5,34.5,34.5,0
2021-12-27,34.5,34.5,34.5,34.5,34.5,0
2021-12-28,34.5,34.5,34.5,34.5,34.5,0
2021-12-29,34.5,34.5,34.5,34.5,34.5,0
2021-12-30,34.5,34.5,34.5,34.5,34.5,0
2021-12-31,34.5,34.5,34.5,34.5,34.5,0
2022-01-03,34.5,34.5,34.5,34.5,34.5,0
2022-01-04,34.5,34.5,34.5,34.5,34.5,0
2022-01-05,34.5,34.5,34.5,34.5,34.5,0
2022-01-06,34.5,34.5,34.5,34.5,34.5,0
2022-01-07,34.5,34.5,34.5,34.5,34.5,0
2022-01-10,34.5,34.5,34.5,34.5,34.5,0
2022-01-11,34.5,34.5,34.5,34.5,34.5,0
2022-01-12,34.5,34.5,34.5,34.5,34.5,0
2022-01-13,34.5,34.5,34.5,34.5,34.5,0
2022-01-14,34.5,34.5,34.5,34.5,34.5,0
2022-01-18,34.5,34.5,34.5,34.5,34.5,0
2022-01-19,34.5,34.5,34.5,34.5,34.5,0
2022-01-20,34.5,34.5,34.5,34.5,34.5,0
2022-01-21,34.5,34.5,34.5,34.5,34.5,0
2022-01-24,34.5,34.5,34.5,34.5,34.5,0
2022-01-25,34.5,34.5,34.5,34.5,34.5,0
2022-01-26,34.5,34.5,34.5,34.5,34.5,0
2022-01-27,34.5,34.5,34.5,34.5,34.5,0
2022-01-28,34.5,34.5,34.5,34.5,34.5,0
2022-01-31,34.5,34.5,34.5,34.5,34.5,0
2022-02-01,34.5,34.5,34.5,34.5,34.5,0
2022-02-02,34.5,34.5,34.5,34.5,34.5,0
2022-02-03,34.5,34.5,34.5,34.5,34.5,0
2022-02-04,34.5,34.5,34.5,34.5,34.5,0
2022-02-07,34.5,34.5,34.5,34.5,34.5,0
2022-02-08,34.5,34.5,34.5,34.5,34.5,0
2022-02-09,34.5,34.5,34.5,34.5,34.5,0
2022-02-10,34.5,34.5,34.5,34.5,34.5,0
2022-02-11,34.5,34.5,34.5,34.5,34.5,0
2022-02-14,34.5,34.5,34.5,34.5,34.5,0
2022-02-15,34.5,34.5,34.5,34.5,34.5,0
2022-02-16,34.5,34.5,34.5,34.5,34.5,0
2022-02-17,34.5,34.5,34.5,34.5,34.5,0
2022-02-18,34.5,34.5,34.5,34.5,34.5,0
2022-02-22,34.5,34.5,34.5,34.5,34.5,0
2022-02-23,34.5,34.5,34.5,34.5,34.5,0
2022-02-24,34.5,34.5,34.5,34.5,34.5,0
2022-02-25,34.5,34.5,34.5,34.5,34.5,0
2022-02-28,34.5,34.5,34.5,34.5,34.5,0
2022-03-02,34.5,34.5,34.5,34.5,34.5,0
